text,label
Feeling super optimistic about the future!,optimism
Why would they ignore me again?,sadness
I realize now what went wrong.,realization
"Ugh, this is so frustrating and annoying.",annoyance
Feeling super optimistic about the future!,optimism
I'm scared of what might happen next.,fear
"Wow, that was unexpected and shocking!",surprise
I can't believe this happened... again.,remorse
This is absolutely hilarious!,amusement
I'm so proud of what we've accomplished today.,pride
I'm scared of what might happen next.,fear
I'm scared of what might happen next.,fear
I'm deeply saddened by the outcome.,sadness
This is exciting! Let’s celebrate!,excitement
Why would they ignore me again?,sadness
Feeling super optimistic about the future!,optimism
This is exciting! Let’s celebrate!,excitement
I realize now what went wrong.,realization
How could they do this to me?,anger
I feel completely heartbroken after that news.,grief
Feeling super optimistic about the future!,optimism
I'm grateful for your help yesterday.,gratitude
Your message confused me a lot.,confusion
Your message confused me a lot.,confusion
That was disgusting and uncalled for.,disgust
I'm deeply saddened by the outcome.,sadness
"Ugh, this is so frustrating and annoying.",annoyance
I'm so proud of what we've accomplished today.,pride
Your message confused me a lot.,confusion
I can't believe this happened... again.,remorse
"Ugh, this is so frustrating and annoying.",annoyance
I'm deeply saddened by the outcome.,sadness
I'm so proud of what we've accomplished today.,pride
I'm grateful for your help yesterday.,gratitude
How could they do this to me?,anger
How could they do this to me?,anger
I feel completely heartbroken after that news.,grief
I love the way you handled that situation.,love
I'm scared of what might happen next.,fear
I love the way you handled that situation.,love
"Ugh, this is so frustrating and annoying.",annoyance
I'm so proud of what we've accomplished today.,pride
I'm deeply saddened by the outcome.,sadness
I love the way you handled that situation.,love
Your message confused me a lot.,confusion
Feeling super optimistic about the future!,optimism
Why would they ignore me again?,sadness
"Wow, that was unexpected and shocking!",surprise
Feeling super optimistic about the future!,optimism
"Ugh, this is so frustrating and annoying.",annoyance
I'm deeply saddened by the outcome.,sadness
I'm scared of what might happen next.,fear
I can't believe this happened... again.,remorse
I feel completely heartbroken after that news.,grief
I'm grateful for your help yesterday.,gratitude
I'm disappointed in how that turned out.,disappointment
Feeling super optimistic about the future!,optimism
I can't believe this happened... again.,remorse
"Ugh, this is so frustrating and annoying.",annoyance
I'm grateful for your help yesterday.,gratitude
I'm disappointed in how that turned out.,disappointment
